"...1","id","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","accommodates","bedrooms","beds","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_60","availability_365","number_of_reviews","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","n_days_last_review","n_character_in_desription","n_days_host_since","n_characters_in_host_about","n_host_verifications","classes_property_type","bathrooms_type","bathroom_number","n_amenities","amenities_Wifi","amenities_Backyard","amenities_TV","amenities_Washer","amenities_Dishwasher","amenities_AC","amenities_Breakfast","price_new","price_per_accomate","lasso_rating"
6616,17331192,90,79,1,1,1,1,"Brooklyn",2,1,1,1,1125,1,26,315,148,4.86,4.82,4.82,4.98,4.95,4.65,1,3.66,63,1000,2868,96,8,3,2,1.5,45,1,0,1,1,1,1,0,196,98,0.237466960223135
6617,17332200,100,86,1,4,1,1,"Brooklyn",2,1,1,1,92,1,15,276,193,4.83,4.72,4.94,4.94,4.7,4.79,3,3.69,77,1000,2859,358,6,2,1,1,28,1,0,0,0,0,1,0,33,16.5,0.208708314939747
6618,17339881,100,97,0,1,1,0,"Brooklyn",4,1,1,3,1125,1,12,270,157,4.83,4.67,4.78,4.81,4.71,4.75,2,3.08,65,566,1697,0,4,3,2,1,28,1,0,1,0,0,1,0,120,30,-0.143745681687388
6619,17342599,100,100,1,2,1,1,"Manhattan",2,1,1,5,1125,1,16,321,54,4.93,4.74,4.91,4.93,4.76,4.89,3,1.24,79,999,3135,717,6,2,1,1,38,1,0,0,1,1,1,0,55,27.5,0.31033678461027
6620,17346379,100,100,1,2,1,1,"Manhattan",2,1,1,4.9,1125,1,6,275,74,4.85,4.73,4.92,4.97,4.59,4.82,3,1.41,70,999,3135,717,6,2,1,1,34,1,0,0,1,1,1,0,72,36,0.139770634101409
6621,17358323,100,79,0,1,1,1,"Queens",2,1,1,30,1125,1,34,64,64,4.9,4.92,4.87,4.95,4.89,4.79,1,1.23,695,1000,2013,284,7,3,2,1,33,1,0,1,1,0,0,0,114,57,0.417317862146322
6622,17367004,90,79,0,1,1,1,"Manhattan",5,2,3,30,1125,1,0,0,165,4.63,4.48,4.85,4.84,4.91,4.43,1,3.13,569,1000,3800,145,6,2,2,1,13,1,0,0,0,0,1,0,289,57.8,-0.259668538427651
6623,17367175,90,79,1,2,1,1,"Brooklyn",2,1,1,30,1125,1,0,0,57,4.82,4.77,4.87,4.93,4.75,4.8,2,1.08,966,1000,3249,102,5,2,1,1,22,1,0,0,1,0,1,0,29,14.5,0.334051417061493
6624,17367187,100,86,0,1,1,1,"Bronx",8,1,5,3,365,1,12,115,155,4.85,4.63,4.85,4.9,4.86,4.77,1,2.99,656,1000,2823,80,7,3,2,1,55,1,0,1,1,1,1,0,109,13.625,0.0190777984603783
6625,17370778,100,98,1,7,1,1,"Brooklyn",2,1,1,3,360,1,7,113,194,4.89,4.83,4.89,4.92,4.95,4.79,2,3.74,79,1000,3631,1130,9,3,2,1,39,1,1,1,0,0,1,0,110,55,0.420140413641301
